Date,AAPL,AMZN,MSFT,NVDA,SPY,TSLA
2021-01-04,125.856689453125,159.3314971923828,208.40652465820312,13.076726913452148,344.25677490234375,243.2566680908203
2021-01-05,127.41275024414062,160.92550659179688,208.6075439453125,13.367157936096191,346.6278381347656,245.0366668701172
2021-01-06,123.12385559082031,156.91900634765625,203.1985626220703,12.57912540435791,348.7000427246094,251.9933319091797
2021-01-07,127.32525634765625,158.10800170898438,208.98095703125,13.306578636169434,353.8808898925781,272.0133361816406
2021-01-08,128.42422485351562,159.13499450683594,210.25425720214844,13.239519119262695,355.897216796875,293.3399963378906
2021-01-11,125.4384994506836,155.7104949951172,208.2150421142578,13.583301544189453,353.4981994628906,270.39666748046875
2021-01-12,125.26345825195312,156.04150390625,205.76425170898438,13.44693374633789,353.5727233886719,283.14666748046875
2021-01-13,127.29608154296875,158.29449462890625,207.11410522460938,13.493802070617676,354.5249328613281,284.8033447265625
2021-01-14,125.37044525146484,156.37350463867188,203.93563842773438,13.163230895996094,353.283447265625,281.6666564941406
2021-01-15,123.6490249633789,155.21249389648438,203.58143615722656,12.823436737060547,350.7070617675781,275.38665771484375
2021-01-19,124.32008361816406,156.03799438476562,207.20982360839844,12.98872184753418,353.4608154296875,281.51666259765625
2021-01-20,128.40476989746094,163.16900634765625,214.77293395996094,13.328269958496094,358.35235595703125,283.48333740234375
2021-01-21,133.1118621826172,165.34950256347656,215.37606811523438,13.828609466552734,358.67889404296875,281.663330078125
2021-01-22,135.25149536132812,164.6114959716797,216.3142852783203,13.674044609069824,357.4094543457031,282.21331787109375
2021-01-25,138.9957275390625,164.6999969482422,219.74163818359375,13.61496353149414,358.8189697265625,293.6000061035156
2021-01-26,139.22914123535156,166.30650329589844,222.42221069335938,13.397574424743652,358.2589416503906,294.36334228515625
2021-01-27,138.1593780517578,161.62899780273438,222.96788024902344,12.881525993347168,349.5028991699219,288.0533447265625
2021-01-28,133.3258056640625,161.88099670410156,228.7407684326172,13.014399528503418,352.5086975097656,278.4766540527344
2021-01-29,128.3367156982422,160.30999755859375,222.0679931640625,12.953324317932129,345.45159912109375,264.510009765625
2021-02-01,130.4568328857422,167.1439971923828,229.4300079345703,13.199882507324219,351.2018127441406,279.9366760253906
2021-02-02,131.2834930419922,169.0,229.2960205078125,13.5187349319458,356.1679382324219,290.92999267578125
2021-02-03,130.26231384277344,165.62649536132812,232.63719177246094,13.49255657196045,356.447998046875,284.89666748046875
2021-02-04,133.61756896972656,166.5500030517578,231.6894073486328,13.625932693481445,360.4991760253906,283.3299865722656
2021-02-05,133.20362854003906,167.6074981689453,231.8712921142578,13.552887916564941,361.9180908203125,284.07666015625
2021-02-08,133.3497314453125,166.14700317382812,232.12977600097656,14.398260116577148,364.5318908691406,287.8066711425781
2021-02-09,132.47312927246094,165.25,233.3743438720703,14.223251342773438,364.2890625,283.1533203125
2021-02-10,131.86927795410156,164.32899475097656,232.4648895263672,14.722846031188965,364.1304626464844,268.2733459472656
2021-02-11,131.61602783203125,163.10650634765625,234.06361389160156,15.20798110961914,364.7185363769531,270.5533447265625
2021-02-12,131.84974670410156,163.885498046875,234.54234313964844,14.919294357299805,366.5201416015625,272.0400085449219
2021-02-16,129.72650146484375,163.44749450683594,233.3073272705078,15.287259101867676,366.2027587890625,265.40667724609375
2021-02-17,127.43756866455078,165.4320068359375,234.32444763183594,14.8641996383667,366.2867736816406,266.04998779296875
2021-02-18,126.33695220947266,166.4114990234375,233.9309844970703,14.787415504455566,364.72784423828125,262.4599914550781
2021-02-19,126.4927749633789,162.4949951171875,231.22508239746094,14.8846435546875,364.0838317871094,260.4333190917969
2021-02-22,122.72344970703125,159.03700256347656,225.02630615234375,14.3154935836792,361.28338623046875,238.1666717529297
2021-02-23,122.58707427978516,159.72500610351562,223.83645629882812,14.102338790893555,361.72210693359375,232.94667053222656
2021-02-24,122.09036254882812,157.97650146484375,225.064697265625,14.458342552185059,365.7080078125,247.33999633789062
2021-02-25,117.84371948242188,152.85800170898438,219.7295379638672,13.270183563232422,356.89593505859375,227.4066619873047
2021-02-26,118.106689453125,154.64649963378906,222.9824676513672,13.67603874206543,355.0570373535156,225.1666717529297
2021-03-01,124.4668960571289,157.3070068359375,227.35804748535156,13.802932739257812,363.6636657714844,239.47666931152344
2021-03-02,121.86632537841797,154.72650146484375,224.41221618652344,13.368654251098633,360.82598876953125,228.81333923339844
2021-03-03,118.88587188720703,150.25,218.3573760986328,12.768839836120605,356.0465393066406,217.73333740234375
2021-03-04,117.00607299804688,148.8784942626953,217.5609588623047,12.335559844970703,351.6405334472656,207.14666748046875
2021-03-05,118.26255798339844,150.0229949951172,222.23402404785156,12.426554679870605,358.1094970703125,199.31666564941406
2021-03-08,113.33412170410156,147.59750366210938,218.1942596435547,11.56074047088623,356.3266296386719,187.6666717529297
2021-03-09,117.94110870361328,153.1425018310547,224.32583618164062,12.489449501037598,361.4140319824219,224.52667236328125
2021-03-10,116.85999298095703,152.8820037841797,223.0207977294922,12.437577247619629,363.6636657714844,222.68666076660156
2021-03-11,118.78851318359375,155.67950439453125,227.54034423828125,12.96153450012207,367.3508605957031,233.1999969482422
2021-03-12,117.88268280029297,154.47450256347656,226.21620178222656,12.824373245239258,367.84564208984375,231.2433319091797
